,Name,Strain,Url,Description,Price,Strain_type,Terpenes
59,Blue Dream,Blue Dream,https://www.ocs.ca/products/blue-dream-canna-farms,"Mango and citrus notes express themselves loudly and bring a sweet overtone to Blue Dream's earthy, spicy aroma. This indoor-grown, sativa-dominant strain has a myrcene-rich terpene profile, and the reported effects (by Canna Farms) include happiness, energy, uplift, euphoria and creativity. Blue Dream's buds are green and orange, and have high THC potency. The strain is available both pre-rolled and in 3.5g dried flower packages.",16.15,Sativa dominant,"Myrcene,Alpha-Pinene,Beta-Caryophyllene,Trans-Caryophyllene,Bisabolol"
60,Pink Kush,Pink Kush  ,https://www.ocs.ca/products/pink-kush-1,"Canna Farms' Pink Kush is an indica-dominant indoor-grown strain from B.C. This purple-coloured plant has a floral, citrusy and peppery taste and flowers densely coated with trichomes. It has very strong THC potency and a terpene profile consisting of beta- and trans-caryophyllene, limonene, linalool and humulene. This Pink Kush is available as a 1 g pre-roll and a 3.5 g package of dried flower.",16.15,Indica dominant,"Beta-Caryophyllene,Trans-Caryophyllene,Limonene,Humulene,Linalool"
61,Hash Plant,Hash Plant,https://www.ocs.ca/products/hash-plant-emerald,"Hash Plant is a greenhouse-grown indica with a spicy-sharp bite of smouldering trichomes. This strain has very strong THC potency, and its terpenes include caryophyllene, myrcene, guaiol and bisabolol. It’s available as dried flower in 1 g and 3.5 g weights, or in pre-roll format.",10.22,Indica dominant,"Beta-Caryophyllene,Trans-Caryophyllene,Myrcene,Guaiol,Bisabolol"
62,Wabanaki,Rio Bravo Reserve,https://www.ocs.ca/products/rio-bravo-reserve-2,"Sativa-dominant Rio Bravo Reserve from Edison is an indoor-grown hand-trimmed and craft-cured strain. It features compact flowers laced with bright crimson pistils and woodsy, spicy, sweet aromas from the terpinolene and myrcene in its terpene mix. It has very strong THC potency and is available as 7 g of dried flower.",13.68,Sativa dominant,"Terpinolene,Myrcene,Alpha-Pinene,Trans-Caryophyllene,Beta-Pinene"
63,,Quadra,https://www.ocs.ca/products/quadra,"Quadra has frosty purple flowers and a funky Kush flavour with notes of mandarin zest, and its terpene mix includes beta- and trans-caryophyllene, limonene, terpineol and myrcene. This purple and white strain is hand-trimmed and hand-sorted, and has strong THC potency. It comes in 1 g, 3.5 g and 7 g dried flower sizes.
",14.4,Indica dominant,"Beta-Caryophyllene,Trans-Caryophyllene,Limonene,Terpineol,Myrcene"
64,,Temple,https://www.ocs.ca/products/temple,"Temple has a slight earthy odour and a mild, sweet, vaguely citrusy flavour. This hybrid strain has little to minimal THC potency and features a terpene mix that includes myrcene, beta-caryophyllene, guaiol and alpha-pinene. It’s grown, machine-trimmed and hand-inspected in a hybrid greenhouse, free from pesticides and gamma irradiation, and is available in 3.5 g and 7 g dried flower varieties.
",11.42,Hybrid,"Myrcene,Alpha-Pinene,Beta-Caryophyllene,Guaiol,Trans-Caryophyllene"
65,Blueberry,Blueberry,https://www.ocs.ca/products/blueberry-canaca,"Greenhouse-grown, Blueberry by Canaca is an indica strain with very strong THC potency. This green, orange and purple bud has alpha-pinene, myrcene and trans-caryophyllene terpenes, delivering sweet and fruity flavour notes. Blueberry is available in 3.5 g, 7 g and 15 g dried flower varieties and a three-pack of 0.5 g pre-rolls.",9.75,Indica dominant,"Alpha-Pinene,Myrcene,Trans-Caryophyllene"
66,,Rise,https://www.ocs.ca/products/rise-2,"Rise, by Toronto-native brand Tokyo Smoke, is a sativa-dominant hybrid which offers medium THC potency with little to no CBD content. The strain features a fresh herbaceous bouquet with sharp notes of pine derived from its main terpenes, Limonene and Linalool.",10.56,Sativa dominant,"Limonene,Linalool"
67,,CBD Shark,https://www.ocs.ca/products/cbd-shark,"CBD Shark from Whistler Cannabis Co. is an indica-dominant strain with mild THC potency potential and medium CBD levels that’s grown indoors in British Columbia under LED lighting. Its main terpene is myrcene (also found in mango, lemon grass, hops and thyme). CBD Shark is available in 3.5 g dried flower.",22.66,Indica dominant,Myrcene
68,Warlock,No. 302 Warlock,https://www.ocs.ca/products/no-302-warlock,"No. 302 Warlock is a hybrid grown indoors in Mississauga, Ont., by Haven St., with a 1:1 ratio of THC to CBD and a mixture of flowery, earthy and sweet aromas. Its terpene mix includes limonene (also found in citrus fruits and juniper), myrcene (also in mango, lemon grass, hops and thyme) and caryophyllene (black pepper, cloves and balsam) and has medium THC potency potential. No. 302 Warlock is hang-dried and hand-trimmed to maintain quality and comes in 1 g and 3.5 g of dried flower.",11.95,Hybrid,"Beta-Caryophyllene,Beta-Myrcene,Delta-Limonene,Guaiol"
69,,No. 405 Kaleidoscope,https://www.ocs.ca/products/no-405-kaleidoscope,"No. 405 Kaleidoscope is an indica-dominant strain grown indoors in Mississauga, Ont., by Haven St., with very strong THC potency and a complex aroma of sweet, earthy and diesel scents. Its terpene mix includes limonene (also found in citrus fruits and juniper), myrcene (also in mango, lemon grass, hops and thyme) and caryophyllene (in black pepper, cloves and balsam). No. 405 Kaleidoscope is hang-dried and hand-trimmed to maintain quality and comes in 1 g and 3.5 g of dried flower.",11.95,Indica dominant,"Beta-Caryophyllene,Beta-Myrcene,Delta-Limonene,Linalool"
70,Sour Jack,Sour Jack,https://www.ocs.ca/products/sour-jack-whistler-cannabis,"Sour Jack from Whistler Cannabis Co. is a sativa-dominant strain with very strong THC potency potential that’s grown indoors in British Columbia under LED lighting. Its main terpene is myrcene (also found in mango, lemon grass, hops and thyme). Sour Jack is available in 3.5 g of dried flower.",22.66,Sativa dominant,Myrcene
